ACG,Brand,Market,Product ID,CG,SCG,Long Name,Sales,Vollume,calender week,MAT,'YTD
Consumer,New York,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,"1,68",1,10,MAT-1,Null
Consumer,California,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack","13,98",2,11,MAT-2,Null
Consumer,California,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""","25,824",6,12,MAT,Null
Consumer,California,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,"146,73",3,13,MAT-1,YTD
Consumer,California,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,"79,76",4,1,MAT-2,Null
Home Office,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray","213,115",5,2,MAT,Null
Corporate,Arizona,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","1113,024",8,3,MAT-1,Null
Corporate,Arizona,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,"167,968",4,4,MAT-2,Null
Consumer,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate","75,88",2,5,MAT,Null
Consumer,New York,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,"4,616",1,6,MAT-1,Null
Consumer,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""","19,05",3,7,MAT-2,Null
Consumer,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,"831,936",8,8,MAT,Null
Consumer,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""","97,04",2,9,MAT-1,Null
Consumer,Tennessee,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,"72,784",1,10,MAT-2,Null
Corporate,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,"1,248",3,11,MAT,Null
Corporate,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black","9,708",3,12,MAT-1,Null
Corporate,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","27,24",3,13,MAT-2,YTD-1
Consumer,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak","19,3",5,1,MAT,Null
Corporate,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","208,16",1,2,MAT-1,Null
Corporate,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,"16,74",3,3,MAT-2,Null
Consumer,California,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind","14,9",5,4,MAT,Null
Consumer,California,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black","21,39",1,5,MAT-1,Null
Corporate,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,"200,984",7,6,MAT-2,Null
Home Office,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,"230,376",3,7,MAT,Null
Consumer,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,"301,96",2,8,MAT-1,Null
Consumer,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,"19,99",1,9,MAT-2,Null
Consumer,Minnesota,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,"6,16",2,10,MAT,Null
Home Office,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,"158,368",7,11,MAT-1,Null
Corporate,California,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,"20,1",3,12,MAT-2,Null
Corporate,California,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,"73,584",2,13,MAT,YTD-2
Corporate,California,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,"6,48",1,1,MAT-1,Null
Consumer,Minnesota,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,"12,96",2,2,MAT-2,Null
Consumer,Minnesota,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock","53,34",3,3,MAT,Null
Consumer,Minnesota,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,"32,96",2,4,MAT-1,Null
Home Office,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,"5,682",1,5,MAT-2,Null
Home Office,New York,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,"96,53",7,6,MAT,Null
Consumer,California,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,"51,312",3,7,MAT-1,Null
Corporate,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,"77,88",6,8,MAT-2,Null
Home Office,Illinois,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,"64,624",7,9,MAT,Null
Home Office,Illinois,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,"95,976",3,10,MAT-1,Null
Home Office,Illinois,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,"1,788",3,11,MAT-2,Null
Consumer,Minnesota,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),"23,92",4,12,MAT,Null
Consumer,Colorado,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,"238,896",6,13,MAT-1,YTD
Consumer,Colorado,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting","102,36",3,1,MAT-2,Null
Consumer,Colorado,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets","36,882",3,2,MAT,Null
Consumer,North Carolina,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,"74,112",8,3,MAT-1,Null
Consumer,North Carolina,South,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,"27,992",1,4,MAT-2,Null
Consumer,North Carolina,South,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,"3,304",1,5,MAT,Null
Home Office,Illinois,Central,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,"339,96",5,6,MAT-1,Null
Corporate,New York,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,"41,96",2,7,MAT-2,Null
Consumer,Iowa,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue","75,96",2,8,MAT,Null
Consumer,Iowa,Central,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders","27,24",6,9,MAT-1,Null
Consumer,Ohio,East,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes","40,096",14,10,MAT-2,Null
Consumer,Ohio,East,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2","4,72",2,11,MAT,Null
Consumer,Ohio,East,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,"23,976",3,12,MAT-1,Null
Consumer,Ohio,East,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White","130,464",6,13,MAT-2,YTD
Consumer,Washington,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,"787,53",3,1,MAT,Null
Corporate,Tennessee,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,"157,794",1,2,MAT-1,Null
Consumer,Delaware,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,"47,04",3,3,MAT-2,Null
Consumer,Delaware,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,"30,84",4,4,MAT,Null
Consumer,Delaware,East,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black","226,56",6,5,MAT-1,Null
Consumer,Delaware,East,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,"115,02",9,6,MAT-2,Null
Consumer,Delaware,East,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,"68,04",7,7,MAT,Null
Home Office,Texas,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,"600,558",3,8,MAT-1,Null
Consumer,Illinois,Central,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,"617,7",6,9,MAT-2,Null
Consumer,Arizona,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels","2,388",2,10,MAT,Null
Consumer,Arizona,West,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black","243,992",7,11,MAT-1,Null
Home Office,California,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black","81,424",2,12,MAT-2,Null
Home Office,California,West,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,"238,56",3,13,MAT,YTD-1
Corporate,Ohio,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,"59,97",5,1,MAT-1,Null
Corporate,Ohio,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,"78,304",2,2,MAT-2,Null
Corporate,Ohio,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,"21,456",9,3,MAT,Null
Consumer,California,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,"20,04",3,4,MAT-1,Null
Consumer,California,West,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,"35,44",1,5,MAT-2,Null
Consumer,California,West,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box","11,52",4,6,MAT,Null
Consumer,California,West,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,"4,02",2,7,MAT-1,Null
Consumer,California,West,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,"76,176",3,8,MAT-2,Null
Consumer,California,West,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,"65,88",6,9,MAT,Null
Consumer,California,West,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,"43,12",14,10,MAT-1,Null
Corporate,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock","82,8",2,11,MAT-2,Null
Corporate,California,West,OFF-AR-10000940,Office Supplies,Art,Newell 343,"8,82",3,12,MAT,Null
Corporate,California,West,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,"10,86",3,13,MAT-1,YTD-2
Corporate,California,West,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,"143,7",3,1,MAT-2,Null
Consumer,Missouri,Central,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,"839,43",3,2,MAT,Null
Consumer,California,West,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,"671,93",7,3,MAT-1,Null
Home Office,Ohio,East,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock","93,888",4,4,MAT-2,Null
Corporate,Wisconsin,Central,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,"384,45",11,5,MAT,Null
Corporate,Wisconsin,Central,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,"149,97",3,6,MAT-1,Null
Corporate,Wisconsin,Central,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","1951,84",8,7,MAT-2,Null
Corporate,Wisconsin,Central,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,"171,55",5,8,MAT,Null
Home Office,Arizona,West,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,"157,92",5,9,MAT-1,Null
Home Office,Arizona,West,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,"203,184",2,10,MAT-2,Null
Corporate,California,West,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,"58,38",7,11,MAT,Null
Corporate,California,West,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,"105,52",4,12,MAT-1,Null
Corporate,California,West,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black","80,88",6,13,MAT-2,YTD
Home Office,Washington,West,OFF-AR-10001547,Office Supplies,Art,Newell 311,"6,63",3,1,MAT,Null
Consumer,Washington,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,"457,568",2,2,MAT-1,Null
Consumer,Oklahoma,Central,OFF-LA-10002475,Office Supplies,Labels,Avery 519,"14,62",2,3,MAT-2,Null
Consumer,Oklahoma,Central,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,"944,93",7,4,MAT,Null
Consumer,California,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,"5,98",1,5,MAT-1,Null
Consumer,Pennsylvania,East,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,"54,384",2,6,MAT-2,Null
Consumer,New Mexico,West,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,"28,4",5,7,MAT,Null
Consumer,Washington,West,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,"27,68",2,8,MAT-1,Null
Consumer,Texas,Central,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,"9,936",3,9,MAT-2,Null
Consumer,Texas,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,"8159,952",8,10,MAT,Null
Consumer,Texas,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,"275,928",3,11,MAT-1,Null
Consumer,Texas,Central,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,"1740,06",9,12,MAT-2,Null
Consumer,Texas,Central,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,"32,064",6,13,MAT,YTD
Consumer,Texas,Central,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,"177,98",5,1,MAT-1,Null
Consumer,Texas,Central,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,"143,976",3,2,MAT-2,Null
Consumer,California,West,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”","20,94",3,3,MAT,Null
Consumer,California,West,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,"110,96",2,4,MAT-1,Null
Consumer,California,West,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray","340,144",7,5,MAT-2,Null
Corporate,Illinois,Central,OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,"52,448",2,6,MAT,Null
Corporate,Illinois,Central,OFF-LA-10003148,Office Supplies,Labels,Avery 51,"20,16",4,7,MAT-1,Null
Consumer,Texas,Central,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection","97,264",4,8,MAT-2,Null
Consumer,Ohio,East,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton","396,802",7,9,MAT,Null
Consumer,Ohio,East,OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,"15,88",5,10,MAT-1,Null
Home Office,New York,East,OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count","3,28",1,11,MAT-2,Null
Corporate,Illinois,Central,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black","24,816",2,12,MAT,Null
Corporate,Illinois,Central,TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,"408,744",7,13,MAT-1,YTD-1
Home Office,Louisiana,South,TEC-PH-10003273,Technology,Phones,AT&T TR1909W,"503,96",4,1,MAT-2,Null
Home Office,Louisiana,South,TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile),"149,95",5,2,MAT,Null
Home Office,Louisiana,South,TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,29,2,3,MAT-1,Null
Consumer,Connecticut,East,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,"7,16",2,4,MAT-2,Null
Home Office,California,West,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,"176,8",8,5,MAT,Null
Corporate,Texas,Central,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray","37,224",3,6,MAT-1,Null
Corporate,Texas,Central,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,"20,016",3,7,MAT-2,Null
Home Office,New York,East,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors","899,136",4,8,MAT,Null
Home Office,New York,East,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,"71,76",6,9,MAT-1,Null
